Title,Year,Work,Format,Band
Bad Boys II,2003,Actor,Film,
Full Metal Challenge,2002,Host,TV,
Full Metal Challenge,2003,Host,TV,
Psychic Murders,2002,Actor,Film,
Jackass: The Movie,2002,Actor,Film,
Shadow Realm,2002,Actor,TV,
The New Guy,2002,Actor,FIlm,
Morgan's Ferry,2001,Actor,Film,
Time Lapse,2001,Actor,Film,
Scenes of the Crime,2001,Actor,Film,
Night Visions,2001,Host,TV,
The Human Journey,2000,Narrator,TV,
Henry Rollins: Live and Ripped From London,2000,Spoken Word,TV,
Batman Beyond: Return of the Joker,2000,Actor (Voice),TV,
Desperate But Not Serious,2000,Actor,FIlm,
Batman Beyond,1999,Actor (Voice),TV,
Jack Frost,1998,Actor,Film,
The Doors Legends,1997,Narrator,TV,
Lost Highway,1997,Actor,Film,
Walker: Texas Ranger,1996,Actor,TV,
Heat,1995,Actor,Film,
Johnny Mnemonic,1995,Actor,Film,
The Chase,1994,Actor,Film,
Pop Goes The Weasel,1991,Actor,TV,
Kiss Napoleon Goodbye,1990,Actor,Film,
The Right Side of My Brain,1984,Actor,Film,
  The Orchard,2019,Actor,Film,
 Deadly Class,2019,Actor,TV,
Dreamland,2018,Actor,Film,
Those Who Can't,2018,Actor,TV,
Mr. Pickles,2018,Actor (Voice),TV,
Portlandia,2018,Actor,TV,
Stretch Armstrong & the Flex Fighters,2017,Actor (Voice),TV,
Z Nation,2017,Actor,TV,
Con Man,2015,Actor,TV,
Con Man,2017,Actor,TV,
Adventure Time,2016,Actor (Voice),TV,
Adventure Time,2011,Actor (Voice),TV,
Adventure Time,2010,Actor (Voice),TV,
Sheriff Callie's Wild West,2016,Actor (Voice),TV,
You're the Worst,2015,Himself,TV,
Welcome to Showside,2015,Actor (Voice),TV,
Stitchers,2015,Actor,TV,
Paradise Lost?,2015,Actor (Voice),TV,
A History of Radness,2015,Actor,TV,
Kroll Show,2015,Actor,TV,
Uncle Grandpa,2014,Actor,TV,
Dark Prophet,2014,Actor,TV,
Hawaii Five-0,2013,Actor,TV,
Animal Underworld,2012,Narrator,TV,
The Paul Reiser Show,2011,Actor,TV,
Green Lantern: Emerald Knights,2011,Actor (Voice),TV,
Batman: The Brave and the Bold,2010,Actor (Voice),TV,
The Ballad of G.I. Joe,2009,Actor (Voice),TV,
American Dad!,2009,Actor (Voice),TV,
Californication,2007,Actor,TV,
Odd Job Jack,2007,Actor,TV,
Shorty McShorts' Shorts,2006,Actor (Voice),TV,
Lies & Alibis,2006,Actor,TV,
The Drew Carey Show,2002,Actor,TV,
Time Lapse,2001,Actor,Film,
Welcome to Paradox,1998,Actor,TV,
IDn4,1991,Actor,Film,
The Stooges,2007,Text,Film,
Ten Monologues from the Lives of the Serial Killers,1994,Text,Film,
The Fastest Man on Earth,2015,Narrator,TV,
10 Things You Don't Know About,2013,Host,TV,
10 Things You Don't Know About,2014,Host,TV,
The Legend of Cool Disco Dan,2013,Narrator,TV,
Henry Rollins Capitalism,2012,Host,TV,
Jobriath A.D.,2012,Narrator,TV,
50 Documentaries to See Before You Die,2011,Host,TV,
Snake Underworld,2011,Host,TV,
UFC Primetime,2011,Narrator,TV,
Henry Rollins at 50 : Live at the National Geographic Theater,2011,Host,TV,
"Last Fast Ride: The Life, Love and Death of a Punk Goddess",2011,Narrator,TV,
National Geographic Explorer,2010,Narrator,TV,
Henry's Film Corner,2004,Host,TV,
Def Jam Fight for NY,2004,Narrator,Video Game,
Night Visions,2001,Host,TV,
Night Visions,2002,Host,TV,
One-Hit Wonders,2002,Host,TV,
The Human Journey,2000,Narrator,TV,
Platinum,1997,Actor,TV,
"Freaks, Nerds & Weirdos",1994,Actor,TV,
Spoken Word 1,1993,Spoken Word,TV,
Rollins: Talking from the Box,1992,Spoken Word,TV,
